State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Tamil_Nadu,Chennai,4937551,3635.22449,418.1428571,0.041409966,0.00119155,0.182742765,0.44,4.413014134
Chandigarh,Chandigarh,1217412,141.755102,2.571428571,0.027979365,0.001519095,0.06180128,0.43,2.208816386
Assam,Cachar,2049170,9.020408163,0.142857143,0.161020231,0.000632182,0.382495134,0.495,2.375447672
Bihar,Buxar,2035854,6.93877551,0.857142857,0.112256384,0.000359928,0.052416609,0.08,0.466936552
Maharashtra,Buldhana,2952348,0.510204082,0.857142857,0.095782373,0.003398422,0.235531427,0.44,2.459026856
Karnataka,Bidar,1907010,18.10204082,4.285714286,0.029378974,0.002454698,0.148574754,0.495,5.057179803
Madhya_Pradesh,Bhopal,2973789,323.5918367,35.57142857,0.074839252,0.003908229,0.090971125,0.08,1.215553623
Bihar,Bhojpur,3254287,7.755102041,2.285714286,0.115306818,0.000984237,0.137018737,0.2,1.188296924
Bihar,Bhagalpur,3723123,19.10204082,2.142857143,0.102863192,0.00161431,0.212636664,0.48,2.067179331
Karnataka,Bengaluru_Urban,13624407,82.06122449,5.571428571,0.041110886,0.003968527,0.064814573,0.1,1.57657931
Karnataka,Belagavi,5352819,63.14285714,0.142857143,0.047447157,0.000228846,0.098476186,0.21,2.075491833
Bihar,Begusarai,3668866,24.53061224,3.428571429,0.082245777,0.000811448,0.234072855,0.495,2.846016715
Maharashtra,Beed,3037079,0.040816327,0.285714286,0.046937533,0.003163775,0.128383254,0.425,2.735193886
Uttar_Pradesh,Bareilly,5356663,2.469387755,0.857142857,0.053165618,0.003737324,0.091267709,0.495,1.716667881
Uttar_Pradesh,Barabanki,3898578,6.367346939,3.857142857,0.045706834,0.001049247,0.341470782,0.295,7.470891222
Uttar_Pradesh,Ballia,3741668,5.142857143,0,0.085904818,0.001193134,0.324366854,0.235,3.77588664
Odisha,Balasore,2623782,47.97959184,11,0.044643267,0.000776289,0.191455984,0.495,4.288574707
Uttar_Pradesh,Azamgarh,5318554,1.224489796,0.428571429,0.030838558,0.001713187,0.213215238,0.08,6.913917186
Uttar_Pradesh,Ayodhya,2874258,1.163265306,0.714285714,0.017453537,0.001594639,0.121353644,0.495,6.952954169
Maharashtra,Aurangabad,4606386,476.6734694,53,0.067347182,0.006182935,0.116035571,0.495,1.722946191
Bihar,Araria,3566532,3.081632653,0,0.109620141,0.000596977,0.161175762,0.23,1.470311567
Maharashtra,Amravati,3167458,42.32653061,4,0.101261601,0.004370199,0.004975725,0.095,0.049137332
Rajasthan,Alwar,4420767,18.06122449,2.142857143,0.070061297,0.000721361,0.144054276,0.47,2.056117751
Uttar_Pradesh,Aligarh,4419128,36.73469388,2.571428571,0.065621546,0.003128847,0.042741142,0.135,0.651327867
Maharashtra,Akola,1997502,118.9387755,15.71428571,0.07830353,0.00525287,0.150210811,0.38,1.918314676
Rajasthan,Ajmer,3011068,131.122449,5,0.083047681,0.003134654,0.046035401,0.29,0.554324945
Maharashtra,Ahmednagar,5048643,27.44897959,1.714285714,0.050400438,0.004408945,0.09542414,0.495,1.893319658
Andhra_Pradesh,A0tapur,4523180,56.7755102,2.142857143,0.091968033,0.001757986,0.084055631,0.495,0.913965738
Maharashtra,0ded,3867378,38.97959184,3.714285714,0.09648502,0.004788202,0.119968033,0.325,1.243385064
