State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Solapur,4787647,352.6734694,44.28571429,0.063653048,0.008629144,0.10773172,0.09,1.692483291
Bihar,Siwan,4003684,26.79591837,4,0.084099586,0.000585004,0.184303515,0.495,2.191491339
Tamil_Nadu,Sivaganga,1529329,4.836734694,0.857142857,0.087520114,0.003816298,0.003942148,0.085,0.04504277
Karnataka,Shivamogga,1858248,33.20408163,2.142857143,0.054436075,0.00251302,0.062413092,0.41,1.146539165
Uttar_Pradesh,Shahjahanpur,3595030,15.75510204,1,0.072770052,0.00135782,0.087708791,0.475,1.205286906
Maharashtra,Satara,3190531,210.2653061,30.42857143,0.063417767,0.003808794,0.213006701,0.105,3.358785872
Bihar,Saran,4713945,31.14285714,5.857142857,0.088492124,0.001965398,0.227852472,0.25,2.574833355
Maharashtra,Sangli,3055687,42.65306122,4.142857143,0.068825165,0.002999403,0.163656891,0.08,2.37786413
Bihar,Samastipur,5229372,46.59183673,2,0.097804268,0.000792871,0.07749663,0.495,0.792364497
Tamil_Nadu,Salem,3962368,43.51020408,21.85714286,0.060960562,0,0.310855157,0.46,5.099282966
Bihar,Saharsa,2340509,35.18367347,3.571428571,0.105372015,7.06E-05,0.154700141,0.495,1.468133079
Uttar_Pradesh,Saharanpur,4074084,34.63265306,3.428571429,0.068740039,2.86E-05,0.093107185,0.435,1.354482574
Andhra_Pradesh,S.P.S._Nellore,3256832,75.95918367,10.42857143,0.052622736,0.000289671,0.059572631,0.185,1.132070189
Bihar,Rohtas,3490729,112.0612245,6,0.066561954,0.000996743,0.141328347,0.26,2.12326018
Haryana,Rewari,1042054,14.93877551,1,0.041693413,0.000723063,0.098154156,0.495,2.354188545
Maharashtra,Ratnagiri,1544901,116.2244898,13.85714286,0.059320962,0.003559608,0.107339126,0.08,1.809463672
Jharkhand,Ranchi,3536714,21.59183673,1,0.034860238,0.001672723,0.075812986,0.495,2.174769582
Uttar_Pradesh,Rampur,2781652,114.7346939,1.714285714,0.079682922,0.001120282,0.050726546,0.495,0.636604995
Tamil_Nadu,Ramanathapuram,1522413,30.40816327,3.285714286,0.057793437,0.001268229,0.1248231,0.305,2.159814461
Karnataka,Ramanagara,1131764,1.071428571,0,0.075259732,0.000732333,0.263099666,0.095,3.495888959
Gujarat,Rajkot,4483728,30.04081633,3.142857143,0.054929439,0.002691776,0.092204601,0.35,1.678600827
Chhattisgarh,Raipur,5313458,2.244897959,1.285714286,0.085036116,0.000878861,0.352966093,0.47,4.150778613
Maharashtra,Raigad,3087777,416.9183673,51,0.071565823,0.004828038,0.100315755,0.355,1.40172712
Karnataka,Raichur,2196148,79.55102041,21.57142857,0.027747215,0.000327024,0.196784017,0.285,7.092027708
Bihar,Purnia,4086253,46.26530612,5.857142857,0.049235479,0.000248564,0.113656281,0.375,2.30842239
Odisha,Puri,1896950,58.2244898,1.428571429,0.093253037,0.000723013,0.070941475,0.495,0.76074171
West_Bengal,Purba_Medinipur,5795189,32.81632653,6.571428571,0.054176348,0.00128289,0.164744144,0.46,3.040886872
Maharashtra,Pune,11971755,3171.612245,292.7142857,0.056390945,0.003523069,0.101158782,0.105,1.79388343
Tamil_Nadu,Pudukkottai,1775923,12.95918367,0.857142857,0.07609682,0.00306609,0.08040079,0.27,1.056559134
